date_SC,trial,channel,degree_min,temp_pulled,discolor_3day,est_scp,eclose,temp_pulled_grouped,uid,trial_id,degree_min_continuous
2/22/2019,b,9,0.1,-30,0,-23.5,0,-30,288,2019-02-22b,0.1
2/22/2019,b,10,0.1,-24,1,-21.9,0,-24,289,2019-02-22b,0.1
2/22/2019,b,11,0.1,-26,0,-23.8,0,-26,290,2019-02-22b,0.1
2/22/2019,b,13,0.1,-34,0,-23.2,0,-32,291,2019-02-22b,0.1
2/22/2019,b,14,0.1,-32,1,-24.9,0,-32,292,2019-02-22b,0.1
2/22/2019,b,15,0.1,-36,0,-23.4,0,-32,293,2019-02-22b,0.1
2/22/2019,b,control,0.1,NA,1,NA,0,NA,294,2019-02-22b,0.1
2/22/2019,b,control,0.1,NA,1,NA,1,NA,295,2019-02-22b,0.1
2/22/2019,b,control,0.1,NA,1,NA,1,NA,296,2019-02-22b,0.1
3/26/2019,b,3,0.1,-32,1,-26.6,0,-32,297,2019-03-26b,0.1
3/26/2019,b,4,0.1,-24,1,NA,1,-24,298,2019-03-26b,0.1
3/26/2019,b,5,0.1,-22,1,NA,0,-22,299,2019-03-26b,0.1
3/26/2019,b,7,0.1,-34,1,-23.3,0,-32,300,2019-03-26b,0.1
3/26/2019,b,9,0.1,-34.5,1,-25.8,0,-32,301,2019-03-26b,0.1
3/26/2019,b,10,0.1,-26,0,-25.7,0,-26,302,2019-03-26b,0.1
3/26/2019,b,11,0.1,-34.5,0,-24.9,0,-32,303,2019-03-26b,0.1
3/26/2019,b,13,0.1,-28,1,-25.1,0,-28,304,2019-03-26b,0.1
3/26/2019,b,14,0.1,-30,0,-25,0,-30,305,2019-03-26b,0.1
3/26/2019,b,15,0.1,-20,0,NA,0,-20,306,2019-03-26b,0.1
3/26/2019,b,control,0.1,NA,1,NA,0,NA,307,2019-03-26b,0.1
3/26/2019,b,control,0.1,NA,1,NA,0,NA,308,2019-03-26b,0.1
3/26/2019,b,control,0.1,NA,1,NA,0,NA,309,2019-03-26b,0.1
6/26/2019,1f,3,1,-26,0,-26,0,-26,310,2019-06-261f,1
6/26/2019,1f,4,1,-22,0,NA,0,-22,311,2019-06-261f,1
6/26/2019,1f,5,1,-30,0,-26.3,1,-30,312,2019-06-261f,1
6/26/2019,1f,7,1,-32,1,-25,0,-32,313,2019-06-261f,1
6/26/2019,1f,8,1,-32,1,NA,0,-32,314,2019-06-261f,1
6/26/2019,1f,9,1,-28,0,-28,0,-28,315,2019-06-261f,1
6/26/2019,1f,10,1,-32,0,NA,0,-32,316,2019-06-261f,1
6/26/2019,1f,13,1,-24,1,-22.7,0,-24,317,2019-06-261f,1
6/26/2019,1f,14,1,-32,0,NA,0,-32,318,2019-06-261f,1
6/26/2019,1f,15,1,-32,1,-24.4,0,-32,319,2019-06-261f,1
6/26/2019,1f,control,1,NA,1,NA,1,NA,320,2019-06-261f,1
6/26/2019,1f,control,1,NA,1,NA,0,NA,321,2019-06-261f,1
6/26/2019,1f,control,1,NA,1,NA,0,NA,322,2019-06-261f,1
6/26/2019,2f,3,1,-30,1,-25.4,1,-30,323,2019-06-262f,1
6/26/2019,2f,4,1,-22,1,NA,1,-22,324,2019-06-262f,1
6/26/2019,2f,5,1,-26,1,-25.3,0,-26,325,2019-06-262f,1
6/26/2019,2f,6,1,-32,0,NA,0,-32,326,2019-06-262f,1
6/26/2019,2f,7,1,-32,0,NA,0,-32,327,2019-06-262f,1
6/26/2019,2f,8,1,-32,0,-24,1,-32,328,2019-06-262f,1
